Enzyme
AccI
AflIII
ApaI
ApaLI
BbsI
BlpI
BpuEI
BsaI
BseRI
BsmBI
BstXI
BtgZI
DraIII
Esp3I
HincII
MluI
MreI
MscI
NaeI
NgoMIV
NspI
PaeR7I
PaqCI
PpuMI
PspOMI
PstI
SalI
Sau3AI
SphI
TsoI
XbaI
XhoI
XmnI
