Enzyme
AatII
AccI
AflII
AhdI
AlwNI
ApoI
BmgBI
BsaI
BsaBI
BspQI
BsrGI
BstAPI
BtgI
EagI
EcoO109I
EcoRI
EcoRV
HincII
HindIII
KasI
MauBI
NarI
NcoI
NdeI
NotI
NsiI
PluTI
PshAI
SalI
SapI
SbfI
ScaI
SfoI
SphI
SspI
StyI
TsoI
ZraI
